feed_product_id,sku,name,qty,status,visibility,price,type_id,description
PROD1;SKU1;"Product 1";51;0;true;13.43;simple;"Description for Sample Product 1";https://picsum.photos/id/100/200/200;sport,experience,travel
PROD2;SKU2;"Product 2";67;0;true;23.92;simple;"Description for Sample Product 2";https://picsum.photos/id/82/200/200;home,experience,tech
PROD3;SKU3;"Product 3";26;0;false;34.93;simple;"Description for Sample Product 3";https://picsum.photos/id/262/200/200;sport,travel,tech
PROD4;SKU4;"Product 4";67;1;false;50.44;simple;"Description for Sample Product 4";https://picsum.photos/id/343/200/200;home,travel,tech
PROD5;SKU5;"Product 5";1;0;false;32.26;simple;"Description for Sample Product 5";https://picsum.photos/id/207/200/200;sport,experience,travel
PROD6;SKU6;"Product 6";26;1;false;46.50;simple;"Description for Sample Product 6";https://picsum.photos/id/67/200/200;sport,experience,tech
PROD7;SKU7;"Product 7";61;1;false;77.53;simple;"Description for Sample Product 7";https://picsum.photos/id/494/200/200;home,experience,travel
PROD8;SKU8;"Product 8";83;0;false;32.79;simple;"Description for Sample Product 8";https://picsum.photos/id/107/200/200;home,sport,tech
PROD9;SKU9;"Product 9";81;0;true;24.32;simple;"Description for Sample Product 9";https://picsum.photos/id/197/200/200;sport,experience,travel
PROD10;SKU10;"Product 10";95;0;true;44.03;simple;"Description for Sample Product 10";https://picsum.photos/id/385/200/200;home,sport,travel
PROD11;SKU11;"Product 11";20;0;false;43.65;simple;"Description for Sample Product 11";https://picsum.photos/id/28/200/200;experience,travel,tech
PROD12;SKU12;"Product 12";73;1;true;86.11;simple;"Description for Sample Product 12";https://picsum.photos/id/105/200/200;sport,experience,food
PROD13;SKU13;"Product 13";8;1;false;97.52;simple;"Description for Sample Product 13";https://picsum.photos/id/454/200/200;sport,food,travel
PROD14;SKU14;"Product 14";74;1;true;38.95;simple;"Description for Sample Product 14";https://picsum.photos/id/291/200/200;home,experience,food
